Código Município;Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Rio, lago ou mar;Outro escoadouro;Não tem instalação sanitária
110001;ALTA FLORESTA D'OESTE;60;563;21445;346;102;747;791
110002;ARIQUEMES;1007;6695;80527;241;119;586;460
110003;CABIXI;6;1388;4778;16;4;56;50
110004;CACOAL;29822;11246;34797;1002;326;465;624
110005;CEREJEIRAS;16;2877;13886;31;-;48;76
110006;COLORADO DO OESTE;81;884;16673;301;215;225;145
110007;CORUMBIARA;22;951;7309;92;-;59;193
110008;COSTA MARQUES;14;1088;9154;849;-;2097;264
110009;ESPIGAO D'OESTE;93;3803;21510;1306;853;709;264
110010;GUAJARA-MIRIM;2969;5222;22556;2693;111;5409;1052
110011;JARU;408;1275;46639;687;775;1480;475
110012;JI-PARANA;3834;19563;86683;1651;2532;887;590
110013;MACHADINHO D'OESTE;42;596;28194;395;6;373;1390
110014;NOVA BRASILANDIA D'OESTE;27;710;17831;168;6;388;515
110015;OURO PRETO DO OESTE;367;3381;31516;396;1256;533;236
110018;PIMENTA BUENO;2568;10160;19291;1118;71;196;150
110020;PORTO VELHO;39748;140036;214491;10337;4448;6823;4026
110025;PRESIDENTE MEDICI;170;205;20999;218;7;381;219
110026;RIO CRESPO;-;753;2417;14;19;7;75
110028;ROLIM DE MOURA;291;7058;39938;360;985;1344;254
110029;SANTA LUZIA D'OESTE;100;77;8173;90;11;201;184
110030;VILHENA;842;9159;64748;306;3;220;194
110032;SAO MIGUEL DO GUAPORE;49;2194;17524;157;1;1350;424
110033;NOVA MAMORE;14;1803;17413;879;8;1299;890
110034;ALVORADA D'OESTE;4868;1054;9936;300;3;327;189
110037;ALTO ALEGRE DOS PARECIS;27;47;10910;485;31;682;576
110040;ALTO PARAISO;30;1870;14296;25;4;366;507
110045;BURITIS;24;546;29438;467;177;710;844
110050;NOVO HORIZONTE DO OESTE;388;574;8740;248;12;150;87
110060;CACAULANDIA;4;1241;4241;27;14;14;178
110070;CAMPO NOVO DE RONDONIA;18;2509;8618;176;13;628;650
110080;CANDEIAS DO JAMARI;758;1124;15983;486;6;867;474
110090;CASTANHEIRAS;-;51;3246;15;-;153;81
110092;CHUPINGUAIA;45;171;7077;496;38;121;85
110094;CUJUBIM;15;1139;13684;120;-;36;750
110100;GOVERNADOR JORGE TEIXEIRA;25;3090;6160;242;14;377;572
110110;ITAPUA DO OESTE;160;122;7449;94;-;371;277
110120;MINISTRO ANDREAZZA;269;251;9209;317;7;132;157
110130;MIRANTE DA SERRA;-;224;10785;175;6;470;214
110140;MONTE NEGRO;13;157;12766;318;2;13;739
110143;NOVA UNIAO;-;84;6729;246;6;194;224
110145;PARECIS;-;30;3951;115;-;357;305
110146;PIMENTEIRAS DO OESTE;-;422;1656;123;-;40;36
110147;PRIMAVERA DE RONDONIA;1;64;3097;56;6;234;39
110148;SAO FELIPE D'OESTE;15;954;4672;17;6;277;54
110149;SAO FRANCISCO DO GUAPORE;-;638;14106;106;-;891;235
110150;SERINGUEIRAS;20;2194;7895;230;6;926;204
110155;TEIXEIROPOLIS;6;102;4485;88;12;59;97
110160;THEOBROMA;43;1068;8476;43;-;437;249
110170;URUPA;7;1512;10515;84;20;390;383
110175;VALE DO ANARI;-;61;8683;25;5;315;281
110180;VALE DO PARAISO;-;23;7355;143;8;500;153
120001;ACRELANDIA;47;1312;7095;1187;11;1858;979
120005;ASSIS BRASIL;112;1277;2258;757;49;490;1074
120010;BRASILEIA;3317;2723;5558;3946;1122;1878;2731
120013;BUJARI;70;1523;3434;515;20;1260;1598
120017;CAPIXABA;82;2828;1472;656;12;2506;1206
120020;CRUZEIRO DO SUL;3062;6840;32928;14701;1308;10991;8126
120025;EPITACIOLANDIA;485;2725;5787;1417;166;3417;1008
120030;FEIJO;782;2208;7128;4905;1226;5764;10238
120032;JORDAO;22;259;1344;2094;38;1538;1260
120033;MANCIO LIMA;36;1169;8633;2704;109;1381;1096
120034;MANOEL URBANO;339;676;2444;1366;47;583;2486
120035;MARECHAL THAUMATURGO;101;942;1787;2196;25;3084;6035
120038;PLACIDO DE CASTRO;645;1805;9527;425;57;3337;1336
120039;PORTO WALTER;5;34;3576;948;8;877;3640
120040;RIO BRANCO;146065;42734;67701;46811;8607;13858;7465
120042;RODRIGUES ALVES;2;1166;3783;4401;160;1228;3603
120043;SANTA ROSA DO PURUS;2;113;993;1675;105;577;1211
120045;SENADOR GUIOMARD;106;4391;10185;2365;57;1746;1204
120050;SENA MADUREIRA;1485;3226;11263;3097;1154;13519;4090
120060;TARAUACA;323;2965;6372;5163;693;10959;8922
120070;XAPURI;2551;1896;2341;2549;1124;2662;2911
120080;PORTO ACRE;21;1688;6074;1938;1236;2667;1218
130002;ALVARAES;986;3355;6302;1728;479;926;267
130006;AMATURA;148;408;2752;1883;231;1438;2507
130008;ANAMA;361;74;4861;1976;1047;1550;305
130010;ANORI;180;142;11028;877;742;839;2444
130014;APUI;10;1731;13618;1162;21;988;368
130020;ATALAIA DO NORTE;84;43;3684;3332;736;2807;4385
130030;AUTAZES;1327;4782;15800;2784;1083;3136;3039
130040;BARCELOS;617;2728;6252;466;670;1324;11046
130050;BARREIRINHA;130;1026;8267;10585;119;6384;700
130060;BENJAMIN CONSTANT;698;3360;8112;3449;1519;11937;3848
130063;BERURI;477;3655;4133;2132;2476;776;1826
130068;BOA VISTA DO RAMOS;67;4341;4898;1613;346;3197;394
130070;BOCA DO ACRE;1356;476;11654;3257;1108;8784;3735
130080;BORBA;376;2422;18128;6460;469;2289;4741
130083;CAAPIRANGA;134;3454;2338;178;2105;2040;670
130090;CANUTAMA;1360;78;5239;1371;480;2862;1342
130100;CARAUARI;3972;2167;9456;3100;630;2397;3968
130110;CAREIRO;1046;3658;20685;2329;2418;1680;848
130115;CAREIRO DA VARZEA;59;1202;14119;4401;3231;487;374
130120;COARI;25036;3661;14926;7297;16095;759;7719
130130;CODAJAS;5301;269;3850;3911;1800;1715;6309
130140;EIRUNEPE;474;3155;10969;5332;1258;2018;7390
130150;ENVIRA;181;885;6869;3493;633;2107;2145
130160;FONTE BOA;245;203;9418;3800;530;1999;6552
130165;GUAJARA;78;892;2923;1494;62;7891;541
130170;HUMAITA;1994;4561;22695;6479;1106;5366;1820
130180;IPIXUNA;202;57;3486;5922;420;6932;5176
130185;IRANDUBA;801;5144;25422;5269;1178;1216;1571
130190;ITACOATIARA;3404;13618;48458;9557;3021;6500;1735
130195;ITAMARATI;311;143;1946;1926;339;1117;2247
130200;ITAPIRANGA;34;495;5394;1440;27;476;243
130210;JAPURA;34;1041;2595;1086;307;986;1199
130220;JURUA;776;658;1838;2723;1652;822;2294
130230;JUTAI;111;49;5099;5666;726;1610;4668
130240;LABREA;4855;1891;6571;5779;3187;8059;7155
130250;MANACAPURU;6891;13176;40885;8759;7349;4812;2981
130255;MANAQUIRI;396;1328;13247;4927;1295;184;1264
130260;MANAUS;720585;397444;491299;46024;101018;24867;12717
130270;MANICORE;447;3217;31982;2697;243;4326;3883
130280;MARAA;1573;2415;2637;1703;1508;1444;6188
130290;MAUES;995;13066;27887;6131;549;2350;1014
130300;NHAMUNDA;95;2823;9258;4167;60;1606;213
130310;NOVA OLINDA DO NORTE;1674;2257;15437;6128;1943;980;1871
130320;NOVO AIRAO;110;2144;7552;2085;79;247;2401
130330;NOVO ARIPUANA;2021;908;10666;1007;1186;1705;3819
130340;PARINTINS;1529;17912;54810;11160;686;13777;1275
130350;PAUINI;904;3296;3041;2831;709;1435;5850
130353;PRESIDENTE FIGUEIREDO;7427;2617;14379;167;162;990;1175
130356;RIO PRETO DA EVA;233;2098;20772;816;39;644;696
130360;SANTA ISABEL DO RIO NEGRO;168;960;4075;1051;138;186;11386
130370;SANTO ANTONIO DO ICA;451;380;17877;1955;913;1083;1703
130380;SAO GABRIEL DA CACHOEIRA;1060;3071;10201;779;1130;502;20892
130390;SAO PAULO DE OLIVENCA;752;671;9409;2831;1044;9341;7232
130395;SAO SEBASTIAO DO UATUMA;81;100;5427;4062;45;720;243
130400;SILVES;34;368;2910;141;14;4785;161
130406;TABATINGA;3244;7950;22652;5173;1492;6259;5072
130410;TAPAUA;3118;146;3595;3440;3027;3284;2427
130420;TEFE;9143;9765;16363;8876;8846;2702;5512
130423;TONANTINS;35;1432;8064;2483;147;3203;1704
130426;UARINI;204;1239;4466;497;291;2246;2782
130430;URUCARA;290;1568;9268;3788;61;1794;251
130440;URUCURITUBA;171;3920;5931;3389;309;2743;1208
140002;AMAJARI;22;878;2861;146;6;1476;3844
140005;ALTO ALEGRE;945;1664;4268;1443;-;1487;6532
140010;BOA VISTA;48099;104059;122019;1142;71;4429;1902
140015;BONFIM;61;3825;2541;1377;7;2083;936
140017;CANTA;109;1391;7704;809;9;1941;1830
140020;CARACARAI;7688;2705;3140;239;1614;1495;1335
140023;CAROEBE;1002;175;5071;194;35;630;895
140028;IRACEMA;2163;2182;1977;249;4;237;1830
140030;MUCAJAI;424;145;11056;576;9;1425;1003
140040;NORMANDIA;13;1171;3537;226;1;2602;1367
140045;PACARAIMA;270;1948;4613;53;23;2407;1061
140047;RORAINOPOLIS;139;2509;15381;633;106;3660;1565
140050;SAO JOAO DA BALIZA;427;1330;4025;280;22;128;501
140060;SAO LUIZ;58;2707;3464;67;10;133;193
140070;UIRAMUTA;7;378;2166;622;22;254;4911
150010;ABAETETUBA;1306;21825;54930;14651;22761;21338;3279
150013;ABEL FIGUEIREDO;35;562;5706;131;-;19;272
150020;ACARA;127;3174;16841;7055;481;19709;5655
150030;AFUA;43;1080;6967;4417;400;21532;454
150034;AGUA AZUL DO NORTE;1993;3351;15663;1340;30;1278;934
150040;ALENQUER;264;9515;25032;11027;78;5251;1276
150050;ALMEIRIM;4871;5162;12674;4171;2427;2049;2045
150060;ALTAMIRA;1396;16027;66468;3720;1976;4602;3908
150070;ANAJAS;129;1853;8678;1380;484;10663;1474
150080;ANANINDEUA;52302;206568;187572;11146;3292;4103;5442
150085;ANAPU;7;323;12504;1951;41;298;5353
150090;AUGUSTO CORREA;161;9850;12866;5839;844;10033;866
150095;AURORA DO PARA;177;4438;12677;3027;196;3612;2359
150100;AVEIRO;111;1078;6261;2522;18;5296;512
150110;BAGRE;129;499;1981;841;2314;15149;884
150120;BAIAO;266;8382;19695;927;101;4826;2518
150125;BANNACH;5;56;2246;426;-;209;449
150130;BARCARENA;11166;16472;54743;5980;3000;5156;3066
150140;BELEM;510810;428532;346372;58926;14405;12726;13858
150145;BELTERRA;45;3313;10703;1362;-;718;100
150150;BENEVIDES;571;8348;36533;2528;20;2124;1215
150157;BOM JESUS DO TOCANTINS;206;1845;10761;147;-;88;2166
150160;BONITO;48;1831;6572;714;19;3918;488
150170;BRAGANCA;1339;14959;62924;14996;4184;11889;2403
150172;BRASIL NOVO;47;313;13582;539;-;410;721
150175;BREJO GRANDE DO ARAGUAIA;48;514;4368;631;15;855;845
150178;BREU BRANCO;2442;181;43766;194;59;1716;3928
150180;BREVES;256;5383;39507;13045;5975;21950;5986
