Código Município;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
110001;ALTA FLORESTA D\'OESTE;347;414;366;401;394;383;351;441;315;359;297;255
110002;ARIQUEMES;1812;1826;1760;1901;1674;1801;2743;1692;1379;1416;1334;1150
110003;CABIXI;98;90;76;63;71;85;78;146;102;122;57;63
110004;CACOAL;1215;1122;1074;1047;1205;1227;1327;1406;1256;1150;1167;1096
110005;CEREJEIRAS;253;259;273;256;249;289;305;246;261;324;270;255
110006;COLORADO DO OESTE;249;229;246;239;316;265;303;340;135;166;205;167
110007;CORUMBIARA;210;156;131;131;145;135;128;180;106;121;138;100
110008;COSTA MARQUES;313;223;234;255;312;280;332;340;252;263;161;179
110009;ESPIGAO D\'OESTE;416;111;443;383;482;481;529;518;432;406;362;403
110010;GUAJARA-MIRIM;755;779;897;1034;741;911;1038;492;602;582;393;338
110011;JARU;703;750;756;709;746;937;878;869;617;828;763;505
110012;JI-PARANA;2138;2005;1889;2391;2083;2009;2031;2033;1526;1708;1692;1443
110013;MACHADINHO D\'OESTE;585;648;545;481;498;683;565;567;405;342;438;455
110014;NOVA BRASILANDIA D\'OESTE;284;301;207;286;276;278;261;277;231;244;223;220
110015;OURO PRETO DO OESTE;580;576;609;629;647;686;749;754;418;482;379;382
110018;PIMENTA BUENO;547;545;550;552;598;621;626;666;597;508;550;483
110020;PORTO VELHO;6850;8274;8633;9369;9062;8947;10313;9070;8455;6455;5460;5160
110025;PRESIDENTE MEDICI;261;287;259;223;249;318;310;377;292;259;234;154
110026;RIO CRESPO;51;54;46;58;49;43;42;47;38;46;47;41
110028;ROLIM DE MOURA;718;821;829;847;935;910;968;1109;781;753;618;717
110029;SANTA LUZIA D\'OESTE;148;179;146;122;123;133;130;138;102;84;105;74
110030;VILHENA;1319;1337;1289;1458;1384;1401;1610;1476;1268;1433;1356;1360
110032;SAO MIGUEL DO GUAPORE;363;357;308;318;325;363;374;415;306;360;104;250
110033;NOVA MAMORE;356;375;410;410;334;469;450;524;287;336;259;144
110034;ALVORADA D\'OESTE;260;273;187;240;262;310;320;233;157;169;171;121
110037;ALTO ALEGRE DOS PARECIS;213;181;216;146;189;164;185;155;151;153;114;121
110040;ALTO PARAISO;244;259;298;301;215;247;252;320;180;194;175;169
110045;BURITIS;585;824;811;764;767;694;809;513;568;509;517;551
110050;NOVO HORIZONTE DO OESTE;117;141;123;127;118;62;102;124;85;97;85;87
110060;CACAULANDIA;84;62;88;59;76;94;73;105;60;63;58;56
110070;CAMPO NOVO DE RONDONIA;155;93;120;97;45;136;50;249;90;111;104;77
110080;CANDEIAS DO JAMARI;387;407;380;433;218;485;381;453;268;209;207;215
110090;CASTANHEIRAS;39;52;48;42;24;52;65;53;37;52;29;27
110092;CHUPINGUAIA;143;213;185;180;174;206;176;532;112;116;78;109
110094;CUJUBIM;262;275;260;288;268;238;269;238;199;228;223;179
110100;GOVERNADOR JORGE TEIXEIRA;149;196;183;215;96;128;167;167;82;124;67;88
110110;ITAPUA DO OESTE;161;269;135;147;146;137;135;103;72;86;127;124
110120;MINISTRO ANDREAZZA;145;126;117;126;118;137;127;86;88;71;98;92
110130;MIRANTE DA SERRA;171;213;186;133;149;127;157;177;90;92;56;79
110140;MONTE NEGRO;279;261;243;288;210;230;210;227;179;222;228;158
110143;NOVA UNIAO;88;86;111;135;133;137;113;161;67;36;33;41
110145;PARECIS;89;69;76;74;69;79;66;56;51;49;29;40
110146;PIMENTEIRAS DO OESTE;60;49;32;37;60;28;47;73;46;32;28;22
110147;PRIMAVERA DE RONDONIA;55;54;43;67;51;80;54;65;43;35;49;43
110148;SAO FELIPE D\'OESTE;71;84;75;73;80;86;82;53;65;46;49;54
